티커,구성종목명,계약수,금액,시가총액,비중
0043Y0,TIME 차이나AI테크액티브,1575.0,28468125,30523500,0.0
0B4BNM,ACCENTURE PLC-CL A,95.0,0,0,0.0
079031,ADVANCED MICRO DEVICES,105.0,0,0,0.0
1609W1,ALIBABA GROUP HOLDING-SP ADR,273.0,0,0,0.0
2079K1,ALPHABET INC-CL C,46.0,0,0,0.0
231351,AMAZON.COM INC,93.0,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,54.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,14.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,56.0,0,0,0.0
4703L2,DELL TECHNOLOGIES -C,23.0,0,0,0.0
786421,EBAY INC,124.0,0,0,0.0
581401,INTEL CORP,410.0,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,89.0,0,0,0.0
236330,KIOXIA HOLDINGS CORP,166.0,0,0,0.0
8733R1,MERCADOLIBRE INC,10.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,27.0,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,460.0,0,0,0.0
7066G1,NVIDIA CORP,155.0,0,0,0.0
223041,PDD HOLDINGS INC,174.0,0,0,0.0
475251,QUALCOMM INC,88.0,0,0,0.0
766961,ROPER TECHNOLOGIES INC,38.0,0,0,0.0
9466L3,SALESFORCE INC,99.0,0,0,0.0
0004C2,SANDISK CORP,31.0,0,0,0.0
030542,SAP SE-SPONSORED ADR,68.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,51.0,0,0,0.0
1762P1,SERVICENOW INC,181.0,0,0,0.0
8392B2,SK HYNIX INC-ADR,150.0,0,0,0.0
334451,SNOWFLAKE INC,117.0,0,0,0.0
949724,STRATEGY INC,116.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,43.0,0,0,0.0
875721,TENCENT HOLDINGS LTD,119.0,0,0,0.0
581021,WESTERN DIGITAL CORP,80.0,0,0,0.0
100007,Z AI CO LTD,92.0,0,0,0.0
010010,원화현금,0.0,0,66160199,0.0
H00000,설정현금액,0.0,0,1060132580,0.0
