티커,구성종목명,계약수,평가금액,구성금액,비중
000660,SK하이닉스,57.0,48393000,53637000,0.0
0043Y0,TIME 차이나AI테크액티브,1478.0,21630530,22598620,0.0
440110,파두,285.0,15532500,18838500,0.0
006400,삼성SDI,43.0,15093000,16877500,0.0
034020,두산에너빌리티,153.0,12331800,13846500,0.0
267260,HD현대일렉트릭,12.0,10452000,11808000,0.0
010120,LS ELECTRIC,16.0,10016000,11216000,0.0
009150,삼성전기,10.0,3625000,4015000,0.0
017191,ALIBABA GROUP HOLDING LTD,453.0,0,0,0.0
2079K1,ALPHABET INC-CL C,70.0,0,0,0.0
231351,AMAZON.COM INC,25.0,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,57.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,8.0,0,0,0.0
0217D1,AST SPACEMOBILE INC,45.0,0,0,0.0
0246W1,AXT INC,172.0,0,0,0.0
937121,BLOOM ENERGY CORP- A,204.0,0,0,0.0
3321L1,CAMECO CORP,130.0,0,0,0.0
717793,CIENA CORP,85.0,0,0,0.0
725731,CIRCLE INTERNET GROUP INC,105.0,0,0,0.0
9247G1,COHERENT CORP,70.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,49.0,0,0,0.0
926717,ENERGY FUELS INC,371.0,0,0,0.0
100003,GANFENG LITHIUM GROUP CO L-H,1697.0,0,0,0.0
6828A1,GE VERNOVA INC,24.0,0,0,0.0
581401,INTEL CORP,211.0,0,0,0.0
4980X1,IPG PHOTONICS CORP,43.0,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,30.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,14.0,0,0,0.0
949181,MICROSOFT CORP,12.0,0,0,0.0
7066G1,NVIDIA CORP,156.0,0,0,0.0
731211,ROCKET LAB CORP,153.0,0,0,0.0
0004C2,SANDISK CORP,58.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,31.0,0,0,0.0
2706C1,SILICON MOTION TECHNOL-ADR,109.0,0,0,0.0
949724,STRATEGY INC,65.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,46.0,0,0,0.0
8160R1,TESLA INC,20.0,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,62.0,0,0,0.0
168961,URANIUM ENERGY CORP,480.0,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,30.0,0,0,0.0
581021,WESTERN DIGITAL CORP,45.0,0,0,0.0
010010,원화현금,0.0,0,24396686,0.0
H00000,설정현금액,0.0,0,793398960,0.0
