티커,구성종목명,계약수,평가금액,구성금액,비중
009150,삼성전기,47.0,37318000,39433000,0.0
000660,SK하이닉스,24.0,31008000,31200000,0.0
010120,LS ELECTRIC,93.0,23761500,24319500,0.0
0043Y0,TIME 차이나AI테크액티브,1241.0,23814790,23473515,0.0
006400,삼성SDI,29.0,18415000,19720000,0.0
440110,파두,232.0,18861600,18931200,0.0
034020,두산에너빌리티,128.0,16499200,16358400,0.0
005930,삼성전자,57.0,12796500,12654000,0.0
298040,효성중공업,3.0,11823000,11928000,0.0
267260,HD현대일렉트릭,8.0,10448000,9904000,0.0
079031,ADVANCED MICRO DEVICES,43.0,0,0,0.0
2079K1,ALPHABET INC-CL C,51.0,0,0,0.0
231351,AMAZON.COM INC,49.0,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,26.0,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,162.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,4.0,0,0,0.0
937121,BLOOM ENERGY CORP- A,135.0,0,0,0.0
1135F1,BROADCOM INC,30.0,0,0,0.0
717793,CIENA CORP,53.0,0,0,0.0
725731,CIRCLE INTERNET GROUP INC,111.0,0,0,0.0
9247G1,COHERENT CORP,39.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,77.0,0,0,0.0
6828A1,GE VERNOVA INC,15.0,0,0,0.0
581401,INTEL CORP,577.0,0,0,0.0
100007,KNOWLEDGE ATLAS TECHNOLOGY-H,54.0,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,18.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,10.0,0,0,0.0
949181,MICROSOFT CORP,27.0,0,0,0.0
009805,NEBIUS GROUP NV,38.0,0,0,0.0
7066G1,NVIDIA CORP,198.0,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,71.0,0,0,0.0
731211,ROCKET LAB CORP,96.0,0,0,0.0
0004C2,SANDISK CORP,41.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,55.0,0,0,0.0
2706C1,SILICON MOTION TECHNOL-ADR,20.0,0,0,0.0
949724,STRATEGY INC,104.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,99.0,0,0,0.0
807701,TERADYNE INC,9.0,0,0,0.0
8160R1,TESLA INC,32.0,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,38.0,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,57.0,0,0,0.0
581021,WESTERN DIGITAL CORP,78.0,0,0,0.0
010010,원화현금,0.0,0,22712402,0.0
H00000,설정현금액,0.0,0,1077465745,0.0
