티커,구성종목명,계약수,평가금액,구성금액,비중
0043Y0,TIME 차이나AI테크액티브,1438.0,24855830,25049960,0.0
000660,SK하이닉스,24.0,24792000,23952000,0.0
009150,삼성전기,39.0,20046000,20124000,0.0
034020,두산에너빌리티,149.0,15078800,14900000,0.0
005930,삼성전자,66.0,13893000,13464000,0.0
267260,HD현대일렉트릭,12.0,11760000,11760000,0.0
298040,효성중공업,4.0,11720000,11528000,0.0
440110,파두,195.0,11115000,10627500,0.0
006400,삼성SDI,21.0,9901500,10080000,0.0
079031,ADVANCED MICRO DEVICES,50.0,0,0,0.0
0760J1,AEHR TEST SYSTEMS,53.0,0,0,0.0
2079K1,ALPHABET INC-CL C,49.0,0,0,0.0
231351,AMAZON.COM INC,24.0,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,55.0,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,149.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,13.0,0,0,0.0
0217D1,AST SPACEMOBILE INC,43.0,0,0,0.0
937121,BLOOM ENERGY CORP- A,119.0,0,0,0.0
717793,CIENA CORP,69.0,0,0,0.0
725731,CIRCLE INTERNET GROUP INC,107.0,0,0,0.0
9247G1,COHERENT CORP,68.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,85.0,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,12.0,0,0,0.0
926717,ENERGY FUELS INC,280.0,0,0,0.0
6828A1,GE VERNOVA INC,17.0,0,0,0.0
581401,INTEL CORP,397.0,0,0,0.0
4980X1,IPG PHOTONICS CORP,42.0,0,0,0.0
100007,KNOWLEDGE ATLAS TECHNOLOGY-H,62.0,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,29.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,13.0,0,0,0.0
949181,MICROSOFT CORP,12.0,0,0,0.0
7066G1,NVIDIA CORP,89.0,0,0,0.0
731211,ROCKET LAB CORP,111.0,0,0,0.0
9466L3,SALESFORCE INC,26.0,0,0,0.0
0004C2,SANDISK CORP,64.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,56.0,0,0,0.0
2706C1,SILICON MOTION TECHNOL-ADR,106.0,0,0,0.0
949724,STRATEGY INC,43.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,21.0,0,0,0.0
8160R1,TESLA INC,20.0,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,60.0,0,0,0.0
168961,URANIUM ENERGY CORP,467.0,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,18.0,0,0,0.0
255501,VIAVI SOLUTIONS INC,125.0,0,0,0.0
581021,WESTERN DIGITAL CORP,90.0,0,0,0.0
010010,원화현금,0.0,0,43546160,0.0
H00000,설정현금액,0.0,0,851112090,0.0
