티커,구성종목명,계약수,평가금액,구성금액,비중
0B4BNM,ACCENTURE PLC-CL A,69.0,0,0,0.0
079031,ADVANCED MICRO DEVICES,49.0,0,0,0.0
1609W1,ALIBABA GROUP HOLDING-SP ADR,173.0,0,0,0.0
2079K1,ALPHABET INC-CL C,67.0,0,0,0.0
231351,AMAZON.COM INC,84.0,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,190.0,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,56.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,8.0,0,0,0.0
937121,BLOOM ENERGY CORP- A,31.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,107.0,0,0,0.0
4703L2,DELL TECHNOLOGIES -C,44.0,0,0,0.0
786421,EBAY INC,66.0,0,0,0.0
100002,EOPTOLINK TECHNOLOGY INC L-A,135.0,0,0,0.0
811000,FUJIKURA LTD,257.0,0,0,0.0
581401,INTEL CORP,329.0,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,54.0,0,0,0.0
236330,KIOXIA HOLDINGS CORP,97.0,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,25.0,0,0,0.0
8733R1,MERCADOLIBRE INC,8.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,27.0,0,0,0.0
6181S1,MINIMAX GROUP INC,294.0,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,376.0,0,0,0.0
NQU6,NASDAQ 100 E-MINI INDEX SEPT 2026,0.06,47360069,0,0.0
7066G1,NVIDIA CORP,117.0,0,0,0.0
223041,PDD HOLDINGS INC,84.0,0,0,0.0
475251,QUALCOMM INC,62.0,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,89.0,0,0,0.0
766961,ROPER TECHNOLOGIES INC,28.0,0,0,0.0
9466L3,SALESFORCE INC,94.0,0,0,0.0
0004C2,SANDISK CORP,27.0,0,0,0.0
030542,SAP SE-SPONSORED ADR,84.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,29.0,0,0,0.0
1762P1,SERVICENOW INC,137.0,0,0,0.0
8392B2,SK HYNIX INC-ADR,210.0,0,0,0.0
334451,SNOWFLAKE INC,90.0,0,0,0.0
949724,STRATEGY INC,149.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,24.0,0,0,0.0
8160R1,TESLA INC,46.0,0,0,0.0
0043Y0,TIME 차이나AI테크액티브,1604.0,30852940,0,0.0
581021,WESTERN DIGITAL CORP,58.0,0,0,0.0
100007,Z AI CO LTD,120.0,0,0,0.0
100001,ZHONGJI INNOLIGHT CO LTD-A,62.0,0,0,0.0
009150,삼성전기,21.0,29484000,0,0.0
010010,원화현금,0.0,0,25582534,0.0
H00000,설정현금액,0.0,0,1148872811,0.0
