티커,구성종목명,계약수,평가금액,구성금액,비중
009150,삼성전기,56.0,45472000,43344000,0.0
000660,SK하이닉스,25.0,30575000,30625000,0.0
0043Y0,TIME 차이나AI테크액티브,1292.0,25064800,24748260,0.0
006400,삼성SDI,30.0,19770000,18900000,0.0
034020,두산에너빌리티,134.0,15530600,16428400,0.0
005930,삼성전자,59.0,12832500,13245500,0.0
010120,LS ELECTRIC,48.0,9321600,10416000,0.0
267260,HD현대일렉트릭,8.0,8720000,9032000,0.0
440110,파두,98.0,6409200,6703200,0.0
079031,ADVANCED MICRO DEVICES,45.0,0,0,0.0
2079K1,ALPHABET INC-CL C,53.0,0,0,0.0
231351,AMAZON.COM INC,22.0,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,27.0,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,134.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,4.0,0,0,0.0
937121,BLOOM ENERGY CORP- A,107.0,0,0,0.0
1135F1,BROADCOM INC,31.0,0,0,0.0
717793,CIENA CORP,62.0,0,0,0.0
725731,CIRCLE INTERNET GROUP INC,139.0,0,0,0.0
9247G1,COHERENT CORP,41.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,99.0,0,0,0.0
926717,ENERGY FUELS INC,252.0,0,0,0.0
6828A1,GE VERNOVA INC,15.0,0,0,0.0
581401,INTEL CORP,494.0,0,0,0.0
100007,KNOWLEDGE ATLAS TECHNOLOGY-H,56.0,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,23.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,21.0,0,0,0.0
949181,MICROSOFT CORP,10.0,0,0,0.0
009805,NEBIUS GROUP NV,39.0,0,0,0.0
7066G1,NVIDIA CORP,206.0,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,74.0,0,0,0.0
731211,ROCKET LAB CORP,100.0,0,0,0.0
0004C2,SANDISK CORP,43.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,44.0,0,0,0.0
2706C1,SILICON MOTION TECHNOL-ADR,36.0,0,0,0.0
949724,STRATEGY INC,91.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,66.0,0,0,0.0
807701,TERADYNE INC,15.0,0,0,0.0
8160R1,TESLA INC,34.0,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,39.0,0,0,0.0
168961,URANIUM ENERGY CORP,419.0,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,60.0,0,0,0.0
581021,WESTERN DIGITAL CORP,81.0,0,0,0.0
010010,원화현금,0.0,0,51383854,0.0
H00000,설정현금액,0.0,0,1013258853,0.0
