티커,구성종목명,계약수,평가금액,구성금액,비중
000660,SK하이닉스,27.0,27729000,28080000,0.0
009150,삼성전기,45.0,25425000,25560000,0.0
0043Y0,TIME 차이나AI테크액티브,1385.0,24673775,24618375,0.0
006400,삼성SDI,32.0,15392000,15280000,0.0
034020,두산에너빌리티,143.0,14328600,14199900,0.0
005930,삼성전자,63.0,12978000,12663000,0.0
298040,효성중공업,4.0,11760000,12232000,0.0
267260,HD현대일렉트릭,11.0,10989000,11077000,0.0
440110,파두,188.0,10471600,10734800,0.0
079031,ADVANCED MICRO DEVICES,48.0,0,0,0.0
0760J1,AEHR TEST SYSTEMS,51.0,0,0,0.0
2079K1,ALPHABET INC-CL C,47.0,0,0,0.0
231351,AMAZON.COM INC,23.0,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,53.0,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,144.0,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,11.0,0,0,0.0
0217D1,AST SPACEMOBILE INC,42.0,0,0,0.0
937121,BLOOM ENERGY CORP- A,115.0,0,0,0.0
1135F1,BROADCOM INC,16.0,0,0,0.0
717793,CIENA CORP,67.0,0,0,0.0
725731,CIRCLE INTERNET GROUP INC,84.0,0,0,0.0
9247G1,COHERENT CORP,66.0,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,72.0,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,11.0,0,0,0.0
926717,ENERGY FUELS INC,270.0,0,0,0.0
463751,FORMFACTOR INC,9.0,0,0,0.0
6828A1,GE VERNOVA INC,17.0,0,0,0.0
581401,INTEL CORP,533.0,0,0,0.0
4980X1,IPG PHOTONICS CORP,40.0,0,0,0.0
100007,KNOWLEDGE ATLAS TECHNOLOGY-H,60.0,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,28.0,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,13.0,0,0,0.0
949181,MICROSOFT CORP,11.0,0,0,0.0
7066G1,NVIDIA CORP,86.0,0,0,0.0
731211,ROCKET LAB CORP,107.0,0,0,0.0
9466L3,SALESFORCE INC,25.0,0,0,0.0
0004C2,SANDISK CORP,61.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,54.0,0,0,0.0
2706C1,SILICON MOTION TECHNOL-ADR,88.0,0,0,0.0
949724,STRATEGY INC,42.0,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,20.0,0,0,0.0
807701,TERADYNE INC,16.0,0,0,0.0
8160R1,TESLA INC,19.0,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,58.0,0,0,0.0
168961,URANIUM ENERGY CORP,450.0,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,18.0,0,0,0.0
255501,VIAVI SOLUTIONS INC,119.0,0,0,0.0
581021,WESTERN DIGITAL CORP,87.0,0,0,0.0
010010,원화현금,0.0,0,41196259,0.0
H00000,설정현금액,0.0,0,917876862,0.0
