티커,구성종목명,계약수,평가금액,구성금액,비중
005930,삼성전자,49.62,16324324,14662710,0.0
000660,SK하이닉스,7.5,15532060,14332500,0.0
079031,ADVANCED MICRO DEVICES,92.53,0,0,0.0
0971T1,AKAMAI TECHNOLOGIES INC,38.14,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,178.04,0,0,0.0
326541,ANALOG DEVICES INC,12.09,0,0,0.0
382221,APPLIED MATERIALS INC,5.84,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,65.24,0,0,0.0
937121,BLOOM ENERGY CORP- A,8.99,0,0,0.0
717793,CIENA CORP,4.58,0,0,0.0
9247G1,COHERENT CORP,6.75,0,0,0.0
1873S1,COREWEAVE INC-CL A,24.77,0,0,0.0
193501,CORNING INC,12.08,0,0,0.0
6828A1,GE VERNOVA INC,2.63,0,0,0.0
393871,GLOBALFOUNDRIES INC,22.15,0,0,0.0
000218,HUA HONG SEMICONDUCTOR LTD-H,34.11,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,56.5,0,0,0.0
581401,INTEL CORP,47.18,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,22.79,0,0,0.0
824801,KLA CORP,1.42,0,0,0.0
128073,LAM RESEARCH CORP,8.95,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,2.85,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,6.69,0,0,0.0
738741,MARVELL TECHNOLOGY INC,12.86,0,0,0.0
951121,MICRON TECHNOLOGY INC,11.79,0,0,0.0
0937P1,MONGODB INC,16.88,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,136.43,0,0,0.0
833441,ONTO INNOVATION INC,9.15,0,0,0.0
8389X1,ORACLE CORP,26.32,0,0,0.0
0004C2,SANDISK CORP,20.25,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,14.09,0,0,0.0
1762P1,SERVICENOW INC,45.81,0,0,0.0
334451,SNOWFLAKE INC,24.32,0,0,0.0
807701,TERADYNE INC,7.24,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,9.55,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,8.34,0,0,0.0
010010,원화현금,0.0,0,18115656,0.0
H00000,설정현금액,0.0,0,428275981,0.0
