티커,구성종목명,계약수,평가금액,구성금액,비중
005930,삼성전자,57.02,18387414,19215740,0.0
000660,SK하이닉스,8.27,17789714,18921760,0.0
267260,HD현대일렉트릭,8.89,10044444,10614660,0.0
079031,ADVANCED MICRO DEVICES,78.57,0,0,0.0
0971T1,AKAMAI TECHNOLOGIES INC,25.98,0,0,0.0
326541,ANALOG DEVICES INC,11.25,0,0,0.0
382221,APPLIED MATERIALS INC,5.43,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,33.41,0,0,0.0
937121,BLOOM ENERGY CORP- A,11.94,0,0,0.0
717793,CIENA CORP,2.74,0,0,0.0
9247G1,COHERENT CORP,3.39,0,0,0.0
1873S1,COREWEAVE INC-CL A,23.06,0,0,0.0
193501,CORNING INC,6.92,0,0,0.0
6828A1,GE VERNOVA INC,2.93,0,0,0.0
393871,GLOBALFOUNDRIES INC,32.92,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,52.59,0,0,0.0
581401,INTEL CORP,56.72,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,12.93,0,0,0.0
236330,KIOXIA HOLDINGS CORP,19.05,0,0,0.0
824801,KLA CORP,1.32,0,0,0.0
128073,LAM RESEARCH CORP,8.33,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,1.47,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,6.23,0,0,0.0
738741,MARVELL TECHNOLOGY INC,23.64,0,0,0.0
951121,MICRON TECHNOLOGY INC,11.96,0,0,0.0
0937P1,MONGODB INC,10.44,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,158.73,0,0,0.0
833441,ONTO INNOVATION INC,8.51,0,0,0.0
8389X1,ORACLE CORP,21.64,0,0,0.0
0004C2,SANDISK CORP,18.84,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,13.07,0,0,0.0
1762P1,SERVICENOW INC,32.29,0,0,0.0
334451,SNOWFLAKE INC,20.49,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,57.14,0,0,0.0
807701,TERADYNE INC,6.74,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,5.28,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,8.91,0,0,0.0
010010,원화현금,0.0,0,33851587,0.0
H00000,설정현금액,0.0,0,403675644,0.0
