티커,구성종목명,계약수,금액,시가총액,비중
079031,ADVANCED MICRO DEVICES,78.78,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,333.62,0,0,0.0
2079K3,ALPHABET INC-CL A,25.47,0,0,0.0
231351,AMAZON.COM INC,37.05,0,0,0.0
326541,ANALOG DEVICES INC,21.09,0,0,0.0
382221,APPLIED MATERIALS INC,4.89,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,27.78,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,2.93,0,0,0.0
937121,BLOOM ENERGY CORP- A,3.41,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,6.25,0,0,0.0
3804L1,DATADOG INC - CLASS A,7.26,0,0,0.0
6828A1,GE VERNOVA INC,1.17,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,110.68,0,0,0.0
100005,HYGON INFORMATION TECHNOLO-A,42.92,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,61.57,0,0,0.0
581401,INTEL CORP,103.47,0,0,0.0
236330,KIOXIA HOLDINGS CORP,27.58,0,0,0.0
128073,LAM RESEARCH CORP,8.67,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,4.97,0,0,0.0
738741,MARVELL TECHNOLOGY INC,19.8,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,1.77,0,0,0.0
949181,MICROSOFT CORP,19.58,0,0,0.0
0937P1,MONGODB INC,11.89,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,125.54,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,18.24,0,0,0.0
7066G1,NVIDIA CORP,9.09,0,0,0.0
833441,ONTO INNOVATION INC,8.5,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,32.07,0,0,0.0
974351,PALO ALTO NETWORKS INC,6.96,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,32.76,0,0,0.0
0004C2,SANDISK CORP,5.77,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,11.54,0,0,0.0
1762P1,SERVICENOW INC,8.29,0,0,0.0
8392B2,SK HYNIX INC-ADR,41.5,0,0,0.0
334451,SNOWFLAKE INC,13.5,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,8.91,0,0,0.0
807701,TERADYNE INC,6.36,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,3.84,0,0,0.0
581021,WESTERN DIGITAL CORP,18.82,0,0,0.0
9830T1,XIAOMI CORP-CLASS B,356.55,0,0,0.0
100007,Z AI CO LTD,7.14,0,0,0.0
010010,원화현금,0.0,0,12123629,0.0
H00000,설정현금액,0.0,0,275400275,0.0
