티커,구성종목명,계약수,금액,시가총액,비중
009150,삼성전기,3.82,4532514,5179920,0.0
005930,삼성전자,17.1,4104268,4206600,0.0
079031,ADVANCED MICRO DEVICES,78.15,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,269.5,0,0,0.0
2079K3,ALPHABET INC-CL A,25.26,0,0,0.0
231351,AMAZON.COM INC,36.76,0,0,0.0
326541,ANALOG DEVICES INC,8.93,0,0,0.0
382221,APPLIED MATERIALS INC,4.85,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,9.76,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,22.51,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,2.59,0,0,0.0
937121,BLOOM ENERGY CORP- A,3.38,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,10.62,0,0,0.0
3804L1,DATADOG INC - CLASS A,7.21,0,0,0.0
6828A1,GE VERNOVA INC,0.64,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,98.34,0,0,0.0
100005,HYGON INFORMATION TECHNOLO-A,38.05,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,54.69,0,0,0.0
581401,INTEL CORP,102.65,0,0,0.0
236330,KIOXIA HOLDINGS CORP,28.74,0,0,0.0
128073,LAM RESEARCH CORP,7.31,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,5.98,0,0,0.0
738741,MARVELL TECHNOLOGY INC,27.76,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,1.76,0,0,0.0
951121,MICRON TECHNOLOGY INC,2.6,0,0,0.0
949181,MICROSOFT CORP,19.42,0,0,0.0
6181S1,MINIMAX GROUP INC,20.46,0,0,0.0
0937P1,MONGODB INC,11.8,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,139.49,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,16.29,0,0,0.0
7066G1,NVIDIA CORP,15.62,0,0,0.0
833441,ONTO INNOVATION INC,8.43,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,25.72,0,0,0.0
974351,PALO ALTO NETWORKS INC,9.3,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,32.5,0,0,0.0
0004C2,SANDISK CORP,5.73,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,11.45,0,0,0.0
1762P1,SERVICENOW INC,28.27,0,0,0.0
8392B2,SK HYNIX INC-ADR,48.69,0,0,0.0
334451,SNOWFLAKE INC,13.39,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,8.84,0,0,0.0
807701,TERADYNE INC,5.89,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,4.59,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,2.62,0,0,0.0
581021,WESTERN DIGITAL CORP,18.67,0,0,0.0
010010,원화현금,0.0,0,804695,0.0
H00000,설정현금액,0.0,0,306954837,0.0
