티커,구성종목명,계약수,평가금액,구성금액,비중
000660,SK하이닉스,7.53,14397946,16678950,0.0
005930,삼성전자,49.82,14722376,16042040,0.0
079031,ADVANCED MICRO DEVICES,92.91,0,0,0.0
0971T1,AKAMAI TECHNOLOGIES INC,38.29,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,178.77,0,0,0.0
326541,ANALOG DEVICES INC,12.14,0,0,0.0
382221,APPLIED MATERIALS INC,5.86,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,65.51,0,0,0.0
937121,BLOOM ENERGY CORP- A,9.03,0,0,0.0
717793,CIENA CORP,4.6,0,0,0.0
9247G1,COHERENT CORP,6.77,0,0,0.0
1873S1,COREWEAVE INC-CL A,24.88,0,0,0.0
193501,CORNING INC,12.13,0,0,0.0
6828A1,GE VERNOVA INC,2.64,0,0,0.0
393871,GLOBALFOUNDRIES INC,22.24,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,34.25,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,56.73,0,0,0.0
581401,INTEL CORP,47.37,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,22.88,0,0,0.0
824801,KLA CORP,1.42,0,0,0.0
128073,LAM RESEARCH CORP,8.99,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,2.86,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,6.72,0,0,0.0
738741,MARVELL TECHNOLOGY INC,19.06,0,0,0.0
951121,MICRON TECHNOLOGY INC,11.84,0,0,0.0
0937P1,MONGODB INC,16.95,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,136.99,0,0,0.0
833441,ONTO INNOVATION INC,9.18,0,0,0.0
8389X1,ORACLE CORP,26.43,0,0,0.0
0004C2,SANDISK CORP,20.33,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,14.15,0,0,0.0
1762P1,SERVICENOW INC,46.0,0,0,0.0
334451,SNOWFLAKE INC,24.42,0,0,0.0
807701,TERADYNE INC,7.27,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,9.59,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,8.37,0,0,0.0
010010,원화현금,0.0,0,13839902,0.0
H00000,설정현금액,0.0,0,387557448,0.0
