티커,구성종목명,계약수,평가금액,구성금액,비중
000660,SK하이닉스,9.39,12205239,12141270,0.0
005930,삼성전자,37.95,8424043,8576700,0.0
006400,삼성SDI,9.48,6449606,6749760,0.0
034020,두산에너빌리티,44.15,5642453,5704180,0.0
440110,파두,32.75,2672489,2669125,0.0
005380,현대차,4.37,2423580,2429720,0.0
079031,ADVANCED MICRO DEVICES,35.68,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,91.15,0,0,0.0
326541,ANALOG DEVICES INC,16.4,0,0,0.0
382221,APPLIED MATERIALS INC,5.09,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,7.95,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,1.4,0,0,0.0
070341,BAIDU INC-CLASS A,65.5,0,0,0.0
937121,BLOOM ENERGY CORP- A,41.16,0,0,0.0
1135F1,BROADCOM INC,12.83,0,0,0.0
717793,CIENA CORP,12.71,0,0,0.0
9247G1,COHERENT CORP,16.7,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,27.29,0,0,0.0
999081,COMFORT SYSTEMS USA INC,1.74,0,0,0.0
1873S1,COREWEAVE INC-CL A,18.05,0,0,0.0
193501,CORNING INC,18.43,0,0,0.0
254571,CREDO TECHNOLOGY GROUP HOLDI,29.75,0,0,0.0
0B8KQN,EATON CORP PLC,6.52,0,0,0.0
1816X1,FIREFLY AEROSPACE INC,25.57,0,0,0.0
811000,FUJIKURA LTD,52.69,0,0,0.0
6828A1,GE VERNOVA INC,5.75,0,0,0.0
000218,HUA HONG SEMICONDUCTOR LTD-H,118.36,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,68.35,0,0,0.0
581401,INTEL CORP,37.81,0,0,0.0
9338L1,KEYSIGHT TECHNOLOGIES IN,7.71,0,0,0.0
824801,KLA CORP,1.14,0,0,0.0
128073,LAM RESEARCH CORP,7.6,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,4.97,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,7.63,0,0,0.0
738741,MARVELL TECHNOLOGY INC,33.94,0,0,0.0
763231,MASTEC INC,5.53,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,139.88,0,0,0.0
7066G1,NVIDIA CORP,29.73,0,0,0.0
8389X1,ORACLE CORP,12.34,0,0,0.0
2703X1,PLANET LABS PBC,28.8,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,33.46,0,0,0.0
731211,ROCKET LAB CORP,12.45,0,0,0.0
0004C2,SANDISK CORP,18.38,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,15.04,0,0,0.0
00ENER,SIEMENS ENERGY AG,25.82,0,0,0.0
716071,SYNOPSYS INC,4.4,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,15.9,0,0,0.0
807701,TERADYNE INC,5.36,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,10.56,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,19.97,0,0,0.0
010010,원화현금,0.0,0,2444464,0.0
H00000,설정현금액,0.0,0,313925509,0.0
