티커,구성종목명,계약수,금액,시가총액,비중
005930,삼성전자,17.33,4151247,4159200,0.0
009150,삼성전기,2.54,3004575,3009900,0.0
079031,ADVANCED MICRO DEVICES,78.49,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,332.37,0,0,0.0
2079K3,ALPHABET INC-CL A,25.37,0,0,0.0
231351,AMAZON.COM INC,36.92,0,0,0.0
326541,ANALOG DEVICES INC,21.01,0,0,0.0
382221,APPLIED MATERIALS INC,4.87,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,27.68,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,2.6,0,0,0.0
937121,BLOOM ENERGY CORP- A,3.4,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,6.22,0,0,0.0
3804L1,DATADOG INC - CLASS A,7.24,0,0,0.0
6828A1,GE VERNOVA INC,0.64,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,98.76,0,0,0.0
100005,HYGON INFORMATION TECHNOLO-A,38.21,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,61.34,0,0,0.0
581401,INTEL CORP,103.08,0,0,0.0
236330,KIOXIA HOLDINGS CORP,27.53,0,0,0.0
128073,LAM RESEARCH CORP,8.64,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,6.01,0,0,0.0
738741,MARVELL TECHNOLOGY INC,22.71,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,1.76,0,0,0.0
951121,MICRON TECHNOLOGY INC,2.39,0,0,0.0
949181,MICROSOFT CORP,19.5,0,0,0.0
6181S1,MINIMAX GROUP INC,20.55,0,0,0.0
0937P1,MONGODB INC,11.85,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,135.97,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,16.35,0,0,0.0
7066G1,NVIDIA CORP,10.67,0,0,0.0
833441,ONTO INNOVATION INC,8.47,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,25.83,0,0,0.0
974351,PALO ALTO NETWORKS INC,6.93,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,32.63,0,0,0.0
0004C2,SANDISK CORP,5.75,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,11.5,0,0,0.0
1762P1,SERVICENOW INC,18.98,0,0,0.0
8392B2,SK HYNIX INC-ADR,48.89,0,0,0.0
334451,SNOWFLAKE INC,13.45,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,8.88,0,0,0.0
807701,TERADYNE INC,6.34,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,2.63,0,0,0.0
581021,WESTERN DIGITAL CORP,18.75,0,0,0.0
010010,원화현금,0.0,0,1484772,0.0
H00000,설정현금액,0.0,0,300888296,0.0
