티커,구성종목명,계약수,금액,시가총액,비중
079031,ADVANCED MICRO DEVICES,85.97,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,285.41,0,0,0.0
2079K3,ALPHABET INC-CL A,25.32,0,0,0.0
231351,AMAZON.COM INC,36.84,0,0,0.0
326541,ANALOG DEVICES INC,25.57,0,0,0.0
382221,APPLIED MATERIALS INC,6.43,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,27.62,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,3.44,0,0,0.0
937121,BLOOM ENERGY CORP- A,9.53,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,11.6,0,0,0.0
6828A1,GE VERNOVA INC,2.45,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,224.46,0,0,0.0
100005,HYGON INFORMATION TECHNOLO-A,85.09,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,59.89,0,0,0.0
581401,INTEL CORP,80.39,0,0,0.0
236330,KIOXIA HOLDINGS CORP,29.33,0,0,0.0
128073,LAM RESEARCH CORP,10.89,0,0,0.0
738741,MARVELL TECHNOLOGY INC,15.3,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,3.65,0,0,0.0
949181,MICROSOFT CORP,11.86,0,0,0.0
0937P1,MONGODB INC,10.29,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,186.67,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,37.97,0,0,0.0
4110D1,NETAPP INC,14.59,0,0,0.0
833441,ONTO INNOVATION INC,8.45,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,29.47,0,0,0.0
974351,PALO ALTO NETWORKS INC,7.69,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,32.57,0,0,0.0
0004C2,SANDISK CORP,5.09,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,8.51,0,0,0.0
8392B2,SK HYNIX INC-ADR,29.87,0,0,0.0
334451,SNOWFLAKE INC,9.26,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,8.86,0,0,0.0
100000,SUZHOU DONGSHAN PRECISION-A,66.13,0,0,0.0
807701,TERADYNE INC,6.92,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,8.58,0,0,0.0
581021,WESTERN DIGITAL CORP,13.72,0,0,0.0
100007,Z AI CO LTD,16.0,0,0,0.0
010010,원화현금,0.0,0,14325607,0.0
H00000,설정현금액,0.0,0,322834832,0.0
