티커,구성종목명,계약수,평가금액,구성금액,비중
000660,SK하이닉스,14.32,13115637,14792560,0.0
005930,삼성전자,26.35,5178064,5546675,0.0
006400,삼성SDI,11.11,5071178,5238365,0.0
034020,두산에너빌리티,44.61,4233028,4514532,0.0
005380,현대차,4.62,2184494,2346960,0.0
347700,스피어,38.93,1576522,1771315,0.0
0971T1,AKAMAI TECHNOLOGIES INC,21.55,0,0,0.0
382221,APPLIED MATERIALS INC,11.9,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,11.02,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,3.22,0,0,0.0
937121,BLOOM ENERGY CORP- A,47.21,0,0,0.0
3321L1,CAMECO CORP,31.46,0,0,0.0
717793,CIENA CORP,17.39,0,0,0.0
9247G1,COHERENT CORP,21.21,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,43.92,0,0,0.0
999081,COMFORT SYSTEMS USA INC,1.76,0,0,0.0
193501,CORNING INC,17.18,0,0,0.0
4703L2,DELL TECHNOLOGIES -C,9.67,0,0,0.0
0B8KQN,EATON CORP PLC,4.63,0,0,0.0
1188V1,FASTLY INC - CLASS A,57.46,0,0,0.0
1816X1,FIREFLY AEROSPACE INC,112.54,0,0,0.0
811000,FUJIKURA LTD,87.21,0,0,0.0
6828A1,GE VERNOVA INC,8.43,0,0,0.0
000218,HUA HONG SEMICONDUCTOR LTD-H,70.9,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,57.35,0,0,0.0
581401,INTEL CORP,36.3,0,0,0.0
7759T1,JINKOSOLAR HOLDING CO-ADR,20.22,0,0,0.0
9338L1,KEYSIGHT TECHNOLOGIES IN,8.63,0,0,0.0
824801,KLA CORP,2.74,0,0,0.0
100007,KNOWLEDGE ATLAS TECHNOLOGY-H,7.52,0,0,0.0
128073,LAM RESEARCH CORP,19.03,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,7.61,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,14.6,0,0,0.0
738741,MARVELL TECHNOLOGY INC,27.7,0,0,0.0
763231,MASTEC INC,7.54,0,0,0.0
6181S1,MINIMAX GROUP INC,6.38,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,74.26,0,0,0.0
3942X1,NAVITAS SEMICONDUCTOR CORP,91.72,0,0,0.0
7066G1,NVIDIA CORP,9.37,0,0,0.0
2703X1,PLANET LABS PBC,49.13,0,0,0.0
731211,ROCKET LAB CORP,25.83,0,0,0.0
0004C2,SANDISK CORP,22.76,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,15.19,0,0,0.0
716071,SYNOPSYS INC,2.11,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,4.92,0,0,0.0
807701,TERADYNE INC,7.99,0,0,0.0
8160R1,TESLA INC,1.65,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,17.65,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,25.77,0,0,0.0
010010,원화현금,0.0,0,698455,0.0
H00000,설정현금액,0.0,0,252940167,0.0
