티커,구성종목명,계약수,평가금액,구성금액,비중
079031,ADVANCED MICRO DEVICES,93.68,0,0,0.0
0971T1,AKAMAI TECHNOLOGIES INC,38.61,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,144.54,0,0,0.0
326541,ANALOG DEVICES INC,12.24,0,0,0.0
382221,APPLIED MATERIALS INC,5.91,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,66.05,0,0,0.0
070341,BAIDU INC-CLASS A,91.16,0,0,0.0
937121,BLOOM ENERGY CORP- A,9.1,0,0,0.0
717793,CIENA CORP,4.63,0,0,0.0
9247G1,COHERENT CORP,6.83,0,0,0.0
1873S1,COREWEAVE INC-CL A,25.08,0,0,0.0
193501,CORNING INC,12.23,0,0,0.0
1816X1,FIREFLY AEROSPACE INC,35.3,0,0,0.0
6828A1,GE VERNOVA INC,2.66,0,0,0.0
393871,GLOBALFOUNDRIES INC,22.42,0,0,0.0
000218,HUA HONG SEMICONDUCTOR LTD-H,69.06,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,61.8,0,0,0.0
581401,INTEL CORP,47.76,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,23.07,0,0,0.0
824801,KLA CORP,1.44,0,0,0.0
128073,LAM RESEARCH CORP,9.06,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,2.89,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,6.77,0,0,0.0
738741,MARVELL TECHNOLOGY INC,13.02,0,0,0.0
951121,MICRON TECHNOLOGY INC,11.04,0,0,0.0
0937P1,MONGODB INC,16.37,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,158.84,0,0,0.0
833441,ONTO INNOVATION INC,9.26,0,0,0.0
8389X1,ORACLE CORP,24.34,0,0,0.0
2703X1,PLANET LABS PBC,32.07,0,0,0.0
6655K1,RIGETTI COMPUTING INC,75.74,0,0,0.0
731211,ROCKET LAB CORP,11.44,0,0,0.0
0004C2,SANDISK CORP,20.5,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,14.27,0,0,0.0
1762P1,SERVICENOW INC,46.38,0,0,0.0
000660,SK하이닉스,8.43,19909253,0,0.0
334451,SNOWFLAKE INC,22.56,0,0,0.0
807701,TERADYNE INC,7.33,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,9.67,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,8.44,0,0,0.0
100000,WEICHAI POWER CO LTD-H,269.34,0,0,0.0
005930,삼성전자,52.49,18317679,0,0.0
010010,원화현금,0.0,0,919431,0.0
H00000,설정현금액,0.0,0,411540280,0.0
