티커,구성종목명,계약수,평가금액,구성금액,비중
079031,ADVANCED MICRO DEVICES,44.21,0,0,0.0
2079K3,ALPHABET INC-CL A,29.09,0,0,0.0
231351,AMAZON.COM INC,38.35,0,0,0.0
326541,ANALOG DEVICES INC,6.11,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,33.35,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,13.56,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,0.68,0,0,0.0
4626A1,ASTERA LABS INC,11.18,0,0,0.0
494681,ATLASSIAN CORP-CL A,31.49,0,0,0.0
717793,CIENA CORP,7.58,0,0,0.0
9247G1,COHERENT CORP,22.25,0,0,0.0
254571,CREDO TECHNOLOGY GROUP HOLDI,15.61,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,15.88,0,0,0.0
3323L1,FABRINET,2.68,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,31.78,0,0,0.0
581401,INTEL CORP,161.59,0,0,0.0
236330,KIOXIA HOLDINGS CORP,13.51,0,0,0.0
128073,LAM RESEARCH CORP,8.0,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,7.02,0,0,0.0
738741,MARVELL TECHNOLOGY INC,47.87,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,3.88,0,0,0.0
951121,MICRON TECHNOLOGY INC,4.49,0,0,0.0
949181,MICROSOFT CORP,23.4,0,0,0.0
6181S1,MINIMAX GROUP INC,48.65,0,0,0.0
0937P1,MONGODB INC,9.71,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,145.08,0,0,0.0
7066G1,NVIDIA CORP,30.18,0,0,0.0
792951,OKTA INC,19.71,0,0,0.0
8389X1,ORACLE CORP,7.62,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,39.25,0,0,0.0
974351,PALO ALTO NETWORKS INC,6.62,0,0,0.0
0004C2,SANDISK CORP,2.68,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,3.96,0,0,0.0
1762P1,SERVICENOW INC,37.39,0,0,0.0
8392B2,SK HYNIX INC-ADR,23.03,0,0,0.0
334451,SNOWFLAKE INC,13.38,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,21.35,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,6.38,0,0,0.0
581021,WESTERN DIGITAL CORP,7.34,0,0,0.0
9830T1,XIAOMI CORP-CLASS B,363.89,0,0,0.0
100007,Z AI CO LTD,16.22,0,0,0.0
009150,삼성전기,7.07,9809033,0,0.0
005930,삼성전자,5.41,1410810,0,0.0
010010,원화현금,0.0,0,3646921,0.0
H00000,설정현금액,0.0,0,302285400,0.0
