티커,구성종목명,계약수,금액,시가총액,비중
009150,삼성전기,7.24,11283797,10429200,0.0
005930,삼성전자,17.7,4859710,4753497,0.0
079031,ADVANCED MICRO DEVICES,51.67,0,0,0.0
2079K3,ALPHABET INC-CL A,28.48,0,0,0.0
231351,AMAZON.COM INC,36.61,0,0,0.0
326541,ANALOG DEVICES INC,8.55,0,0,0.0
382221,APPLIED MATERIALS INC,4.09,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,48.89,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,16.12,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,1.95,0,0,0.0
494681,ATLASSIAN CORP-CL A,27.68,0,0,0.0
254571,CREDO TECHNOLOGY GROUP HOLDI,18.81,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,19.2,0,0,0.0
3804L1,DATADOG INC - CLASS A,8.16,0,0,0.0
100003,GIGADEVICE SEMICONDUCTO-CL A,34.87,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,37.55,0,0,0.0
100005,HYGON INFORMATION TECHNOLO-A,21.46,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,31.54,0,0,0.0
581401,INTEL CORP,103.47,0,0,0.0
236330,KIOXIA HOLDINGS CORP,27.9,0,0,0.0
128073,LAM RESEARCH CORP,7.11,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,6.39,0,0,0.0
738741,MARVELL TECHNOLOGY INC,36.26,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,10.93,0,0,0.0
951121,MICRON TECHNOLOGY INC,4.84,0,0,0.0
949181,MICROSOFT CORP,21.41,0,0,0.0
6181S1,MINIMAX GROUP INC,64.38,0,0,0.0
0937P1,MONGODB INC,7.51,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,171.67,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,8.58,0,0,0.0
7066G1,NVIDIA CORP,18.35,0,0,0.0
833441,ONTO INNOVATION INC,3.72,0,0,0.0
8389X1,ORACLE CORP,22.07,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,15.37,0,0,0.0
974351,PALO ALTO NETWORKS INC,11.24,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,23.84,0,0,0.0
0004C2,SANDISK CORP,5.18,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,7.55,0,0,0.0
1762P1,SERVICENOW INC,18.04,0,0,0.0
8392B2,SK HYNIX INC-ADR,46.34,0,0,0.0
334451,SNOWFLAKE INC,9.89,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,4.39,0,0,0.0
807701,TERADYNE INC,2.97,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,9.62,0,0,0.0
581021,WESTERN DIGITAL CORP,14.74,0,0,0.0
010010,원화현금,0.0,0,282806,0.0
H00000,설정현금액,0.0,0,326615577,0.0
