티커,구성종목명,계약수,평가금액,구성금액,비중
000660,SK하이닉스,8.05,16909186,17307500,0.0
005930,삼성전자,53.38,15959800,17215050,0.0
267260,HD현대일렉트릭,7.36,7600669,8316800,0.0
079031,ADVANCED MICRO DEVICES,82.78,0,0,0.0
0971T1,AKAMAI TECHNOLOGIES INC,27.37,0,0,0.0
326541,ANALOG DEVICES INC,11.85,0,0,0.0
382221,APPLIED MATERIALS INC,5.73,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,35.2,0,0,0.0
937121,BLOOM ENERGY CORP- A,12.58,0,0,0.0
717793,CIENA CORP,2.88,0,0,0.0
9247G1,COHERENT CORP,3.57,0,0,0.0
1873S1,COREWEAVE INC-CL A,24.29,0,0,0.0
193501,CORNING INC,7.29,0,0,0.0
6828A1,GE VERNOVA INC,2.58,0,0,0.0
393871,GLOBALFOUNDRIES INC,21.72,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,55.4,0,0,0.0
581401,INTEL CORP,53.63,0,0,0.0
592001,INTL BUSINESS MACHINES CORP,13.62,0,0,0.0
236330,KIOXIA HOLDINGS CORP,5.35,0,0,0.0
824801,KLA CORP,1.39,0,0,0.0
128073,LAM RESEARCH CORP,8.78,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,1.55,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,6.56,0,0,0.0
738741,MARVELL TECHNOLOGY INC,22.52,0,0,0.0
951121,MICRON TECHNOLOGY INC,12.6,0,0,0.0
0937P1,MONGODB INC,11.0,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,160.54,0,0,0.0
833441,ONTO INNOVATION INC,8.97,0,0,0.0
8389X1,ORACLE CORP,18.33,0,0,0.0
0004C2,SANDISK CORP,19.85,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,13.77,0,0,0.0
1762P1,SERVICENOW INC,34.02,0,0,0.0
334451,SNOWFLAKE INC,21.59,0,0,0.0
807701,TERADYNE INC,7.1,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,5.57,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,8.17,0,0,0.0
010010,원화현금,0.0,0,45193323,0.0
H00000,설정현금액,0.0,0,379901498,0.0
