티커,구성종목명,계약수,평가금액,구성금액,비중
079031,ADVANCED MICRO DEVICES,40.5,0,0,0.0
2079K3,ALPHABET INC-CL A,28.35,0,0,0.0
231351,AMAZON.COM INC,37.59,0,0,0.0
326541,ANALOG DEVICES INC,6.04,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,30.82,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,13.39,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,1.25,0,0,0.0
4626A1,ASTERA LABS INC,9.42,0,0,0.0
494681,ATLASSIAN CORP-CL A,31.11,0,0,0.0
717793,CIENA CORP,5.89,0,0,0.0
725731,CIRCLE INTERNET GROUP INC,20.8,0,0,0.0
9247G1,COHERENT CORP,10.93,0,0,0.0
254571,CREDO TECHNOLOGY GROUP HOLDI,15.42,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,11.56,0,0,0.0
3323L1,FABRINET,2.64,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,31.39,0,0,0.0
581401,INTEL CORP,125.45,0,0,0.0
236330,KIOXIA HOLDINGS CORP,23.01,0,0,0.0
128073,LAM RESEARCH CORP,10.3,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,4.89,0,0,0.0
738741,MARVELL TECHNOLOGY INC,42.53,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,3.83,0,0,0.0
951121,MICRON TECHNOLOGY INC,4.71,0,0,0.0
949181,MICROSOFT CORP,22.69,0,0,0.0
6181S1,MINIMAX GROUP INC,76.08,0,0,0.0
0937P1,MONGODB INC,9.59,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,122.8,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,8.54,0,0,0.0
7066G1,NVIDIA CORP,29.81,0,0,0.0
792951,OKTA INC,16.86,0,0,0.0
8389X1,ORACLE CORP,27.08,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,36.18,0,0,0.0
974351,PALO ALTO NETWORKS INC,5.76,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,53.94,0,0,0.0
0004C2,SANDISK CORP,3.71,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,6.04,0,0,0.0
1762P1,SERVICENOW INC,29.49,0,0,0.0
8392B2,SK HYNIX INC-ADR,27.27,0,0,0.0
334451,SNOWFLAKE INC,13.22,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,2.3,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,5.34,0,0,0.0
581021,WESTERN DIGITAL CORP,11.07,0,0,0.0
100007,Z AI CO LTD,25.65,0,0,0.0
009150,삼성전기,6.62,9273784,0,0.0
005930,삼성전자,11.75,3048051,0,0.0
010010,원화현금,0.0,0,3355216,0.0
H00000,설정현금액,0.0,0,291825496,0.0
