티커,구성종목명,계약수,금액,시가총액,비중
009150,삼성전기,6.23,7861973,8316783,0.0
005930,삼성전자,8.58,2054868,2192139,0.0
079031,ADVANCED MICRO DEVICES,51.95,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,136.69,0,0,0.0
2079K3,ALPHABET INC-CL A,28.64,0,0,0.0
231351,AMAZON.COM INC,36.81,0,0,0.0
326541,ANALOG DEVICES INC,9.05,0,0,0.0
382221,APPLIED MATERIALS INC,4.12,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,43.86,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,18.7,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,1.96,0,0,0.0
494681,ATLASSIAN CORP-CL A,14.34,0,0,0.0
254571,CREDO TECHNOLOGY GROUP HOLDI,8.81,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,21.84,0,0,0.0
3804L1,DATADOG INC - CLASS A,10.84,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,64.72,0,0,0.0
100005,HYGON INFORMATION TECHNOLO-A,26.97,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,31.71,0,0,0.0
581401,INTEL CORP,104.03,0,0,0.0
236330,KIOXIA HOLDINGS CORP,26.75,0,0,0.0
128073,LAM RESEARCH CORP,7.15,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,5.59,0,0,0.0
738741,MARVELL TECHNOLOGY INC,30.23,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,10.99,0,0,0.0
951121,MICRON TECHNOLOGY INC,3.88,0,0,0.0
949181,MICROSOFT CORP,21.52,0,0,0.0
6181S1,MINIMAX GROUP INC,85.76,0,0,0.0
0937P1,MONGODB INC,8.81,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,159.65,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,10.79,0,0,0.0
7066G1,NVIDIA CORP,30.1,0,0,0.0
833441,ONTO INNOVATION INC,3.74,0,0,0.0
8389X1,ORACLE CORP,14.42,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,21.24,0,0,0.0
974351,PALO ALTO NETWORKS INC,12.59,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,23.97,0,0,0.0
0004C2,SANDISK CORP,5.21,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,7.59,0,0,0.0
1762P1,SERVICENOW INC,28.65,0,0,0.0
8392B2,SK HYNIX INC-ADR,46.59,0,0,0.0
334451,SNOWFLAKE INC,13.57,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,11.35,0,0,0.0
807701,TERADYNE INC,2.98,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,9.68,0,0,0.0
581021,WESTERN DIGITAL CORP,14.82,0,0,0.0
010010,원화현금,0.0,0,747089,0.0
H00000,설정현금액,0.0,0,308843776,0.0
