티커,구성종목명,계약수,금액,시가총액,비중
005930,삼성전자,17.32,4547475,4148140,0.0
079031,ADVANCED MICRO DEVICES,78.45,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,332.2,0,0,0.0
2079K3,ALPHABET INC-CL A,25.36,0,0,0.0
231351,AMAZON.COM INC,36.9,0,0,0.0
326541,ANALOG DEVICES INC,21.0,0,0,0.0
382221,APPLIED MATERIALS INC,4.87,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,27.66,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,2.92,0,0,0.0
937121,BLOOM ENERGY CORP- A,3.4,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,6.22,0,0,0.0
3804L1,DATADOG INC - CLASS A,7.23,0,0,0.0
6828A1,GE VERNOVA INC,1.17,0,0,0.0
000218,HUA HONG GRACE SEMICONDUCTOR,98.71,0,0,0.0
100005,HYGON INFORMATION TECHNOLO-A,38.19,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,61.3,0,0,0.0
581401,INTEL CORP,103.03,0,0,0.0
236330,KIOXIA HOLDINGS CORP,27.51,0,0,0.0
128073,LAM RESEARCH CORP,8.63,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,6.0,0,0,0.0
738741,MARVELL TECHNOLOGY INC,22.7,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,1.76,0,0,0.0
951121,MICRON TECHNOLOGY INC,2.39,0,0,0.0
949181,MICROSOFT CORP,19.49,0,0,0.0
0937P1,MONGODB INC,11.84,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,126.66,0,0,0.0
100000,NAURA TECHNOLOGY GROUP CO-A,16.35,0,0,0.0
7066G1,NVIDIA CORP,10.67,0,0,0.0
833441,ONTO INNOVATION INC,8.46,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,31.93,0,0,0.0
974351,PALO ALTO NETWORKS INC,6.93,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,32.62,0,0,0.0
0004C2,SANDISK CORP,5.75,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,11.49,0,0,0.0
1762P1,SERVICENOW INC,8.25,0,0,0.0
8392B2,SK HYNIX INC-ADR,48.87,0,0,0.0
334451,SNOWFLAKE INC,13.44,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,8.87,0,0,0.0
807701,TERADYNE INC,6.34,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,3.82,0,0,0.0
581021,WESTERN DIGITAL CORP,18.74,0,0,0.0
9830T1,XIAOMI CORP-CLASS B,169.5,0,0,0.0
100007,Z AI CO LTD,5.21,0,0,0.0
010010,원화현금,0.0,0,3006090,0.0
H00000,설정현금액,0.0,0,294140371,0.0
