티커,구성종목명,계약수,평가금액,구성금액,비중
000660,SK하이닉스,13.1,14882589,15130500,0.0
005930,삼성전자,26.01,5487531,5657175,0.0
034020,두산에너빌리티,44.02,4587144,4877416,0.0
006400,삼성SDI,6.13,2888207,2933205,0.0
440110,파두,50.61,3082123,2915136,0.0
005380,현대차,4.65,2361941,2483100,0.0
347700,스피어,30.34,1383652,1400191,0.0
0760J1,AEHR TEST SYSTEMS,26.45,0,0,0.0
017191,ALIBABA GROUP HOLDING LTD,47.17,0,0,0.0
326541,ANALOG DEVICES INC,6.0,0,0,0.0
382221,APPLIED MATERIALS INC,7.39,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,6.27,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,1.93,0,0,0.0
937121,BLOOM ENERGY CORP- A,53.93,0,0,0.0
1135F1,BROADCOM INC,11.34,0,0,0.0
717793,CIENA CORP,14.65,0,0,0.0
9247G1,COHERENT CORP,21.86,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,31.87,0,0,0.0
999081,COMFORT SYSTEMS USA INC,1.73,0,0,0.0
1873S1,COREWEAVE INC-CL A,50.22,0,0,0.0
193501,CORNING INC,14.7,0,0,0.0
254571,CREDO TECHNOLOGY GROUP HOLDI,43.11,0,0,0.0
0B8KQN,EATON CORP PLC,6.5,0,0,0.0
1816X1,FIREFLY AEROSPACE INC,53.06,0,0,0.0
811000,FUJIKURA LTD,52.54,0,0,0.0
6828A1,GE VERNOVA INC,5.94,0,0,0.0
000218,HUA HONG SEMICONDUCTOR LTD-H,69.98,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,56.6,0,0,0.0
581401,INTEL CORP,58.75,0,0,0.0
9338L1,KEYSIGHT TECHNOLOGIES IN,7.69,0,0,0.0
824801,KLA CORP,1.63,0,0,0.0
100007,KNOWLEDGE ATLAS TECHNOLOGY-H,7.42,0,0,0.0
128073,LAM RESEARCH CORP,10.73,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,6.42,0,0,0.0
5405Y1,MACOM TECHNOLOGY SOLUTIONS H,9.61,0,0,0.0
738741,MARVELL TECHNOLOGY INC,37.91,0,0,0.0
763231,MASTEC INC,7.44,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,135.85,0,0,0.0
3942X1,NAVITAS SEMICONDUCTOR CORP,90.52,0,0,0.0
7066G1,NVIDIA CORP,20.0,0,0,0.0
8389X1,ORACLE CORP,24.15,0,0,0.0
2703X1,PLANET LABS PBC,28.72,0,0,0.0
731211,ROCKET LAB CORP,25.49,0,0,0.0
0004C2,SANDISK CORP,21.75,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,14.99,0,0,0.0
716071,SYNOPSYS INC,2.08,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,7.76,0,0,0.0
807701,TERADYNE INC,5.34,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,17.42,0,0,0.0
2537N1,VERTIV HOLDINGS CO-A,25.44,0,0,0.0
010010,원화현금,0.0,0,1074370,0.0
H00000,설정현금액,0.0,0,288928113,0.0
