티커,구성종목명,계약수,평가금액,구성금액,비중
079031,ADVANCED MICRO DEVICES,42.01,0,0,0.0
2079K3,ALPHABET INC-CL A,28.83,0,0,0.0
231351,AMAZON.COM INC,38.0,0,0,0.0
326541,ANALOG DEVICES INC,6.06,0,0,0.0
3823U1,APPLIED OPTOELECTRONICS INC,30.92,0,0,0.0
420682,ARM HOLDINGS PLC-ADR,13.43,0,0,0.0
070592,ASML HOLDING NV-NY REG SHS,1.25,0,0,0.0
4626A1,ASTERA LABS INC,9.45,0,0,0.0
494681,ATLASSIAN CORP-CL A,31.21,0,0,0.0
717793,CIENA CORP,5.91,0,0,0.0
725731,CIRCLE INTERNET GROUP INC,20.86,0,0,0.0
9247G1,COHERENT CORP,14.2,0,0,0.0
254571,CREDO TECHNOLOGY GROUP HOLDI,15.47,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,15.73,0,0,0.0
3323L1,FABRINET,2.65,0,0,0.0
006231,INFINEON TECHNOLOGIES AG,31.49,0,0,0.0
581401,INTEL CORP,126.38,0,0,0.0
236330,KIOXIA HOLDINGS CORP,18.75,0,0,0.0
128073,LAM RESEARCH CORP,10.33,0,0,0.0
5024U1,LUMENTUM HOLDINGS INC,4.9,0,0,0.0
738741,MARVELL TECHNOLOGY INC,44.08,0,0,0.0
0303M1,META PLATFORMS INC-CLASS A,3.85,0,0,0.0
951121,MICRON TECHNOLOGY INC,4.45,0,0,0.0
949181,MICROSOFT CORP,23.19,0,0,0.0
6181S1,MINIMAX GROUP INC,64.27,0,0,0.0
0937P1,MONGODB INC,9.62,0,0,0.0
914400,MURATA MANUFACTURING CO LTD,133.9,0,0,0.0
7066G1,NVIDIA CORP,29.91,0,0,0.0
792951,OKTA INC,19.53,0,0,0.0
8389X1,ORACLE CORP,14.43,0,0,0.0
9608A1,PALANTIR TECHNOLOGIES INC-A,38.9,0,0,0.0
974351,PALO ALTO NETWORKS INC,6.56,0,0,0.0
707001,ROBINHOOD MARKETS INC - A,54.11,0,0,0.0
0004C2,SANDISK CORP,2.66,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY HOLDINGS,3.92,0,0,0.0
1762P1,SERVICENOW INC,32.72,0,0,0.0
8392B2,SK HYNIX INC-ADR,22.82,0,0,0.0
334451,SNOWFLAKE INC,13.26,0,0,0.0
4615Q1,SPACE EXPLORATION TECHN-CL A,14.33,0,0,0.0
010823,TOWER SEMICONDUCTOR LTD,5.36,0,0,0.0
581021,WESTERN DIGITAL CORP,7.27,0,0,0.0
9830T1,XIAOMI CORP-CLASS B,321.37,0,0,0.0
100007,Z AI CO LTD,23.03,0,0,0.0
009150,삼성전기,6.62,8844824,0,0.0
005930,삼성전자,9.64,2400642,0,0.0
010010,원화현금,0.0,0,6925163,0.0
H00000,설정현금액,0.0,0,292223196,0.0
