티커,구성종목명,계약수,금액,시가총액,비중
005930,삼성전자,307.0,80587500,73526500,0.0
000660,SK하이닉스,34.0,58412000,53278000,0.0
009150,삼성전기,33.0,37686000,38973000,0.0
095610,테스,228.0,29640000,29001600,0.0
058610,에스피지,205.0,19393000,22283500,0.0
277810,레인보우로보틱스,28.0,12124000,12838000,0.0
108490,로보티즈,59.0,10844200,12714500,0.0
356860,티엘비,88.0,2323200,2301200,0.0
079031,ADVANCED MICRO DEVICES,111.57,0,0,0.0
122400,ADVANTEST CORP,81.99,0,0,0.0
1609W1,ALIBABA GROUP HOLDING-SP ADR,251.83,0,0,0.0
2079K3,ALPHABET INC-CL A,83.02,0,0,0.0
378331,APPLE Inc,162.31,0,0,0.0
382221,APPLIED MATERIALS INC,16.75,0,0,0.0
420682,ARM Holdings PLC,67.65,0,0,0.0
3823U1,Applied Optoelectronics Inc,98.61,0,0,0.0
4626A1,Astera Labs Inc,13.93,0,0,0.0
937121,BLOOM ENERGY CORPORATION,107.79,0,0,0.0
9247G1,COHERENT CORP,21.41,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,21.6,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,66.13,0,0,0.0
3804L1,DATADOG INC - CLASS A,187.26,0,0,0.0
4703L2,Dell Technologies Inc,21.77,0,0,0.0
4959E1,FORTINET INC,54.6,0,0,0.0
581401,INTEL Corp,387.16,0,0,0.0
5841N1,Interactive Brokers Group Inc,212.16,0,0,0.0
236330,Kioxia Holdings Corp,111.93,0,0,0.0
128073,LAM RESEARCH,67.84,0,0,0.0
5024U1,Lumentum Holdings Inc,12.41,0,0,0.0
738741,MARVELL TECHNOLOGY INC,32.63,0,0,0.0
951121,MICRON TECH,16.75,0,0,0.0
0937P1,MONGODB INC,125.4,0,0,0.0
153942,Moog Inc,21.33,0,0,0.0
4110D1,NETAPP INC,147.38,0,0,0.0
974351,PALO ALTO NETWORKS INC,34.23,0,0,0.0
707001,Robinhood Markets Inc,313.63,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY,49.3,0,0,0.0
8392B2,SK hynix Inc,53.2,0,0,0.0
0004C2,Sandisk Corp/DE,16.39,0,0,0.0
334451,Snowflake Inc   - CL A,281.15,0,0,0.0
807701,TERADYNE INC,20.12,0,0,0.0
873891,Timken Co/The,64.0,0,0,0.0
581021,WESTERN DIGITAL,75.26,0,0,0.0
009805,YANDEX NV-A,24.85,0,0,0.0
010010,원화현금,0.0,0,6263482,0.0
H00000,설정현금액,0.0,0,1380972717,0.0
