티커,구성종목명,계약수,금액,시가총액,비중
108490,로보티즈,145.0,40455000,39730000,0.0
058610,에스피지,340.0,36720000,35326000,0.0
009150,삼성전기,22.0,31680000,30338000,0.0
012330,현대모비스,58.0,30044000,29058000,0.0
0162L0,KODEX 차이나AI반도체TOP10,2010.0,29536950,28632450,0.0
010170,대한광통신,1941.0,25019490,24708930,0.0
000660,SK하이닉스,14.0,23268000,21476000,0.0
005930,삼성전자,85.0,22822500,21292500,0.0
095610,테스,131.0,18733000,18929500,0.0
327260,RF머트리얼즈,275.0,9666250,9185000,0.0
356860,티엘비,90.0,3091500,3177000,0.0
079031,ADVANCED MICRO DEVICES,60.28,0,0,0.0
122400,ADVANTEST CORP,140.14,0,0,0.0
1609W1,ALIBABA GROUP HOLDING-SP ADR,276.02,0,0,0.0
420682,ARM Holdings PLC,36.94,0,0,0.0
494681,ATLASSIAN CORP PLC-CLASS A,66.0,0,0,0.0
0971T1,Akamai Technologies Inc,130.0,0,0,0.0
3823U1,Applied Optoelectronics Inc,200.35,0,0,0.0
4626A1,Astera Labs Inc,44.43,0,0,0.0
937121,BLOOM ENERGY CORPORATION,136.5,0,0,0.0
9247G1,COHERENT CORP,23.46,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,70.35,0,0,0.0
8915M1,Cloudflare Inc,90.0,0,0,0.0
1873S1,Coreweave Inc,178.66,0,0,0.0
3804L1,DATADOG INC - CLASS A,81.06,0,0,0.0
681501,DYNATRACE INC,206.0,0,0,0.0
4703L2,Dell Technologies Inc,23.86,0,0,0.0
4959E1,FORTINET INC,59.85,0,0,0.0
827200,Furukawa Electric Co Ltd,517.85,0,0,0.0
148800,IBIDEN,59.12,0,0,0.0
581401,INTEL Corp,222.34,0,0,0.0
236330,Kioxia Holdings Corp,88.68,0,0,0.0
128073,LAM RESEARCH,57.35,0,0,0.0
5024U1,Lumentum Holdings Inc,18.6,0,0,0.0
738741,MARVELL TECHNOLOGY INC,35.76,0,0,0.0
951121,MICRON TECH,6.36,0,0,0.0
0937P1,MONGODB INC,137.44,0,0,0.0
914400,MURATA MFG CO,81.22,0,0,0.0
4110D1,NETAPP INC,266.54,0,0,0.0
7066G1,NVIDIA Corp,44.0,0,0,0.0
792951,OKTA INC,68.38,0,0,0.0
974351,PALO ALTO NETWORKS INC,50.44,0,0,0.0
9608A1,Palantir Technologies Inc -A,552.0,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY,4.04,0,0,0.0
1762P1,SERVICENOW INC,166.0,0,0,0.0
0004C2,Sandisk Corp/DE,7.97,0,0,0.0
334451,Snowflake Inc   - CL A,277.98,0,0,0.0
807701,TERADYNE INC,22.05,0,0,0.0
009805,YANDEX NV-A,75.36,0,0,0.0
010010,원화현금,0.0,0,14562836,0.0
H00000,설정현금액,0.0,0,1522620839,0.0
