티커,구성종목명,계약수,평가금액,구성금액,비중
005930,삼성전자,317.0,68630500,61846700,0.0
277810,레인보우로보틱스,53.0,45580000,44520000,0.0
0093D0,KoAct 팔란티어밸류체인액티브,975.0,13567125,13923000,0.0
079031,ADVANCED MICRO DEVICES,84.15,0,0,0.0
122400,ADVANTEST CORP,100.41,0,0,0.0
2079K3,ALPHABET INC-CL A,59.11,0,0,0.0
2079K1,ALPHABET INC-CL C,107.75,0,0,0.0
420682,ARM Holdings PLC,66.41,0,0,0.0
070592,ASML HOLDING,8.69,0,0,0.0
0217D1,AST SpaceMobile Inc,49.96,0,0,0.0
0971T1,Akamai Technologies Inc,80.63,0,0,0.0
231351,Amazon.com Inc,26.18,0,0,0.0
937121,BLOOM ENERGY CORPORATION,251.86,0,0,0.0
1135F1,BROADCOM LTD,84.12,0,0,0.0
3321L1,CAMECO CORP,66.65,0,0,0.0
9247G1,COHERENT CORP,92.64,0,0,0.0
193501,CORNING INC,149.19,0,0,0.0
5643U1,Centrus Energy Corp,16.69,0,0,0.0
717793,Ciena Corp,67.49,0,0,0.0
999081,Comfort Systems USA Inc,6.07,0,0,0.0
254571,Credo Technology Group Holding Ltd,61.38,0,0,0.0
802400,FANUC,74.17,0,0,0.0
1188V1,Fastly Inc,482.1,0,0,0.0
6828A1,GE Vernova LLC,6.95,0,0,0.0
581401,INTEL Corp,394.29,0,0,0.0
000185,IREN Ltd,295.02,0,0,0.0
6120E6,Intuitive Surgical Inc,15.7,0,0,0.0
9338L1,KEYSIGHT TECH,28.17,0,0,0.0
824801,KLA Corp,11.05,0,0,0.0
236330,Kioxia Holdings Corp,67.16,0,0,0.0
128073,LAM RESEARCH,112.74,0,0,0.0
5024U1,Lumentum Holdings Inc,69.82,0,0,0.0
951121,MICRON TECH,91.57,0,0,0.0
949181,MICROSOFT,7.62,0,0,0.0
7066G1,NVIDIA Corp,319.75,0,0,0.0
9608A1,Palantir Technologies Inc -A,83.81,0,0,0.0
672921,Riot Platforms Inc,673.13,0,0,0.0
731211,Rocket Lab USA Inc,185.89,0,0,0.0
0004C2,Sandisk Corp/DE,70.91,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,15.41,0,0,0.0
807701,TERADYNE INC,83.72,0,0,0.0
8160R1,TESLA MOTORS,52.23,0,0,0.0
010823,Tower Semiconductor Ltd,60.37,0,0,0.0
2537N1,Vertiv Holdings Co,39.93,0,0,0.0
258151,Vicor Corp,43.27,0,0,0.0
581021,WESTERN DIGITAL,96.28,0,0,0.0
009805,YANDEX NV-A,112.88,0,0,0.0
010010,원화현금,0.0,0,10623567,0.0
H00000,설정현금액,0.0,0,1233091355,0.0
