티커,구성종목명,계약수,평가금액,구성금액,비중
005930,삼성전자,323.0,61370000,60691700,0.0
277810,레인보우로보틱스,54.0,40392000,41040000,0.0
0093D0,KoAct 팔란티어밸류체인액티브,994.0,14065100,14179410,0.0
079031,ADVANCED MICRO DEVICES,92.74,0,0,0.0
122400,ADVANTEST CORP,102.3,0,0,0.0
2079K1,ALPHABET INC-CL C,136.79,0,0,0.0
070592,ASML HOLDING,8.85,0,0,0.0
0217D1,AST SpaceMobile Inc,50.9,0,0,0.0
0246W1,AXT Inc,202.0,0,0,0.0
0971T1,Akamai Technologies Inc,164.15,0,0,0.0
231351,Amazon.com Inc,26.67,0,0,0.0
3823U1,Applied Optoelectronics Inc,70.0,0,0,0.0
937121,BLOOM ENERGY CORPORATION,184.61,0,0,0.0
1135F1,BROADCOM LTD,85.7,0,0,0.0
3321L1,CAMECO CORP,67.91,0,0,0.0
9247G1,COHERENT CORP,69.39,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,58.0,0,0,0.0
193501,CORNING INC,95.0,0,0,0.0
5643U1,Centrus Energy Corp,17.01,0,0,0.0
717793,Ciena Corp,68.76,0,0,0.0
725731,Circle Internet Group Inc,184.0,0,0,0.0
999081,Comfort Systems USA Inc,6.19,0,0,0.0
802400,FANUC,75.57,0,0,0.0
1188V1,Fastly Inc,491.2,0,0,0.0
6828A1,GE Vernova LLC,7.08,0,0,0.0
581401,INTEL Corp,216.73,0,0,0.0
000185,IREN Ltd,198.59,0,0,0.0
6120E6,Intuitive Surgical Inc,16.0,0,0,0.0
9338L1,KEYSIGHT TECH,28.7,0,0,0.0
824801,KLA Corp,8.26,0,0,0.0
236330,Kioxia Holdings Corp,68.43,0,0,0.0
128073,LAM RESEARCH,57.87,0,0,0.0
5024U1,Lumentum Holdings Inc,40.14,0,0,0.0
738741,MARVELL TECHNOLOGY INC,67.61,0,0,0.0
951121,MICRON TECH,123.3,0,0,0.0
7066G1,NVIDIA Corp,311.78,0,0,0.0
3044W3,POET Technologies Inc,1216.0,0,0,0.0
9608A1,Palantir Technologies Inc -A,201.4,0,0,0.0
672921,Riot Platforms Inc,685.83,0,0,0.0
707001,Robinhood Markets Inc,148.0,0,0,0.0
731211,Rocket Lab USA Inc,189.4,0,0,0.0
0004C2,Sandisk Corp/DE,90.25,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,15.7,0,0,0.0
807701,TERADYNE INC,44.3,0,0,0.0
8160R1,TESLA MOTORS,53.21,0,0,0.0
010823,Tower Semiconductor Ltd,61.51,0,0,0.0
2537N1,Vertiv Holdings Co,40.68,0,0,0.0
258151,Vicor Corp,32.08,0,0,0.0
581021,WESTERN DIGITAL,48.1,0,0,0.0
009805,YANDEX NV-A,87.01,0,0,0.0
010010,원화현금,0.0,0,2148617,0.0
H00000,설정현금액,0.0,0,1203867920,0.0
