티커,구성종목명,계약수,금액,시가총액,비중
000660,SK하이닉스,26.0,49738000,54132000,0.0
005930,삼성전자,187.0,49181000,52266500,0.0
009150,삼성전기,19.0,23940000,26847000,0.0
095610,테스,100.0,21750000,21400000,0.0
356860,티엘비,44.0,3198800,3850000,0.0
079031,ADVANCED MICRO DEVICES,159.42,0,0,0.0
122400,ADVANTEST CORP,87.92,0,0,0.0
382221,APPLIED MATERIALS INC,27.9,0,0,0.0
420682,ARM Holdings PLC,113.1,0,0,0.0
070592,ASML HOLDING,11.62,0,0,0.0
3823U1,Applied Optoelectronics Inc,206.19,0,0,0.0
4626A1,Astera Labs Inc,46.63,0,0,0.0
937121,BLOOM ENERGY CORPORATION,139.33,0,0,0.0
9247G1,COHERENT CORP,22.96,0,0,0.0
9260Q1,COINBASE GLOBAL INC -CLASS A,23.16,0,0,0.0
2788C1,CROWDSTRIKE HOLDINGS INC - A,70.92,0,0,0.0
1873S1,Coreweave Inc,64.75,0,0,0.0
3804L1,DATADOG INC - CLASS A,200.81,0,0,0.0
4703L2,Dell Technologies Inc,23.35,0,0,0.0
6828A1,GE Vernova LLC,1.78,0,0,0.0
581401,INTEL Corp,747.13,0,0,0.0
236330,Kioxia Holdings Corp,149.57,0,0,0.0
128073,LAM RESEARCH,89.65,0,0,0.0
5024U1,Lumentum Holdings Inc,35.19,0,0,0.0
738741,MARVELL TECHNOLOGY INC,34.99,0,0,0.0
951121,MICRON TECH,36.76,0,0,0.0
0937P1,MONGODB INC,134.47,0,0,0.0
4110D1,NETAPP INC,158.04,0,0,0.0
974351,PALO ALTO NETWORKS INC,21.86,0,0,0.0
0BKVD2,SEAGATE TECHNOLOGY,69.63,0,0,0.0
8392B2,SK hynix Inc,136.18,0,0,0.0
0004C2,Sandisk Corp/DE,32.4,0,0,0.0
334451,Snowflake Inc   - CL A,301.49,0,0,0.0
4615Q1,Space Exploration Technologies Corp,49.45,0,0,0.0
740391,TAIWAN SEMICONDUCTOR-SP ADR,8.37,0,0,0.0
807701,TERADYNE INC,21.57,0,0,0.0
8160R1,TESLA MOTORS,38.41,0,0,0.0
581021,WESTERN DIGITAL,106.32,0,0,0.0
009805,YANDEX NV-A,26.64,0,0,0.0
010010,원화현금,0.0,0,19082730,0.0
H00000,설정현금액,0.0,0,1609636143,0.0
