티커,구성종목명,계약수,평가금액,구성금액,비중
005930,삼성전자,333.0,33066900,34232400,0.0
277810,레인보우로보틱스,52.0,18798000,19422000,0.0
0093D0,KoAct 팔란티어밸류체인액티브,1171.0,14169100,14239360,0.0
035420,NAVER,49.0,12397000,12911500,0.0
079031,ADVANCED MICRO DEVICES,81.81,0,0,0.0
122400,ADVANTEST CORP,141.02,0,0,0.0
1609W1,ALIBABA GROUP HOLDING-SP ADR,109.19,0,0,0.0
2079K3,ALPHABET INC-CL A,100.73,0,0,0.0
2079K1,ALPHABET INC-CL C,117.13,0,0,0.0
404132,ARISTA NETWORKS,81.39,0,0,0.0
0971T1,Akamai Technologies Inc,380.39,0,0,0.0
231351,Amazon.com Inc,109.81,0,0,0.0
3831W1,AppLovin Corp,9.93,0,0,0.0
937121,BLOOM ENERGY CORPORATION,206.53,0,0,0.0
1135F1,BROADCOM LTD,77.24,0,0,0.0
3321L1,CAMECO CORP,96.78,0,0,0.0
9247G1,COHERENT CORP,49.63,0,0,0.0
193501,CORNING INC,96.03,0,0,0.0
5101Q2,Celestica Inc,46.74,0,0,0.0
5643U1,Centrus Energy Corp,21.84,0,0,0.0
364331,FIRST SOLAR INC,39.84,0,0,0.0
811000,Fujikura Ltd,113.16,0,0,0.0
6828A1,GE Vernova LLC,11.04,0,0,0.0
824801,KLA Corp,11.59,0,0,0.0
128073,LAM RESEARCH,94.19,0,0,0.0
5024U1,Lumentum Holdings Inc,63.73,0,0,0.0
951121,MICRON TECH,90.21,0,0,0.0
949181,MICROSOFT,53.73,0,0,0.0
0303M1,Meta Platforms Inc-CL A,19.64,0,0,0.0
7066G1,NVIDIA Corp,363.01,0,0,0.0
974351,PALO ALTO NETWORKS INC,36.68,0,0,0.0
9608A1,Palantir Technologies Inc -A,152.29,0,0,0.0
475251,QUALCOMM Inc,26.81,0,0,0.0
435000,SONY GROUP,356.34,0,0,0.0
0004C2,Sandisk Corp/DE,45.94,0,0,0.0
334451,Snowflake Inc   - CL A,93.3,0,0,0.0
807701,TERADYNE INC,40.31,0,0,0.0
8160R1,TESLA MOTORS,71.9,0,0,0.0
2537N1,Vertiv Holdings Co,50.35,0,0,0.0
581021,WESTERN DIGITAL,50.08,0,0,0.0
010010,원화현금,0.0,0,21251025,0.0
H00000,설정현금액,0.0,0,1011916887,0.0
